Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
Toyota,Mark,2013,Black,"KSh 1,500,000",Kenyan Used,Automatic,
Mercedes-Benz,E250,2012,Black,"KSh 2,350,000",Kenyan Used,Automatic,
Honda,Fit,2012,White,"KSh 690,000",Kenyan Used,Automatic,
Nissan,Dayz,2015,Silver,"KSh 800,000",Foreign Used,Automatic,139683
Toyota,Corolla,2014,Silver,"KSh 1,300,000",Kenyan Used,Automatic,110900
Nissan,Murano,2010,Black,"KSh 1,100,000",Kenyan Used,Automatic,
BMW,X4,2017,White,"KSh 5,500,000",Foreign Used,Automatic,
Toyota,Vitz,2017,Blue,"KSh 1,370,000",Foreign Used,Automatic,75389
Mitsubishi,Outlander,2014,Blue,"KSh 2,000,000",Kenyan Used,Automatic,
Toyota,Land,2009,White,"KSh 2,350,000",Kenyan Used,Automatic,
Toyota,Hilux,2013,Blue,"KSh 2,500,000",Kenyan Used,Manual,
Toyota,Land,2011,Black,"KSh 7,000,000",Kenyan Used,Automatic,
Toyota,Land,2010,White,"KSh 3,100,000",Kenyan Used,Automatic,
Mitsubishi,RVR,2015,Gray,"KSh 1,800,000",Foreign Used,Automatic,51000
BMW,X5,2008,Gray,"KSh 1,800,000",Kenyan Used,Automatic,155000
Toyota,Land,2006,Green,"KSh 650,000",Kenyan Used,Manual,142085
Toyota,Land,2008,Beige,"KSh 2,500,000",Kenyan Used,Manual,162877
Toyota,Noah,2016,Black,"KSh 2,500,000",Foreign Used,Automatic,94698
Toyota,Succeed,2015,White,"KSh 980,000",Kenyan Used,Automatic,89000
Nissan,Wingroad,2007,Green,"KSh 445,000",Kenyan Used,Automatic,148000
Toyota,TownAce,2006,White,"KSh 830,000",Kenyan Used,Automatic,150000
Honda,Fit,2012,Red,"KSh 680,000",Kenyan Used,Automatic,
Nissan,Sunny,1998,White,"KSh 245,000",Kenyan Used,Manual,168000
Toyota,Kluger,2005,Silver,"KSh 1,045,000",Kenyan Used,Automatic,125032
Audi,Q7,2015,Black,"KSh 5,500,000",Kenyan Used,Automatic,
Nissan,Advan,2008,White,"KSh 450,000",Kenyan Used,Automatic,
Toyota,Corolla,2005,Black,"KSh 730,000",Kenyan Used,Automatic,219120
Toyota,Passo,2012,White,"KSh 600,000",Kenyan Used,Automatic,114351
Lexus,NX,2015,White,"KSh 4,200,000",Kenyan Used,Automatic,
Toyota,Land,2004,White,"KSh 3,000,000",Kenyan Used,Manual,250000
Toyota,Alphard,2010,White,"KSh 1,450,000",Kenyan Used,Automatic,102000
Volvo,V60,2011,Pearl,"KSh 1,000,000",Kenyan Used,Automatic,141000
Toyota,Harrier,2018,Black,"KSh 4,550,000",Foreign Used,Automatic,114000
Nissan,Serena,2016,Black,"KSh 1,750,000",Foreign Used,Automatic,140000
Mazda,Demio,2012,Black,"KSh 685,000",Kenyan Used,Automatic,97045
Honda,Life,2011,White,"KSh 395,000",Kenyan Used,Automatic,
Toyota,Auris,2015,Purple,"KSh 1,750,000",Foreign Used,CVT,85000
Honda,Fit,2016,White,"KSh 1,750,000",Foreign Used,Automatic,70000
Nissan,Note,2016,White,"KSh 1,090,000",Foreign Used,Automatic,114000
Nissan,Sylphy,2011,Blue,"KSh 750,000",Kenyan Used,Automatic,125000
Toyota,Corolla,2014,Black,"KSh 1,350,000",Kenyan Used,Automatic,98000
Mazda,Demio,2005,Purple,"KSh 410,000",Kenyan Used,Automatic,
Toyota,Passo,2014,Beige,"KSh 680,000",Kenyan Used,Automatic,40769
Toyota,Ractis,2011,Black,"KSh 780,000",Kenyan Used,Automatic,137224
Honda,Fit,2016,Silver,"KSh 1,300,000",Foreign Used,Automatic,68257
Toyota,Hilux,2015,Blue,"KSh 3,740,000",Foreign Used,Manual,52950
Toyota,Hilux,2015,Silver,"KSh 2,680,000",Kenyan Used,Automatic,136851
Isuzu,D-MAX,2015,Silver,"KSh 3,640,000",Foreign Used,Manual,58773
Toyota,Succeed,2014,Blue,"KSh 680,000",Kenyan Used,Automatic,
Mazda,Demio,2012,Red,"KSh 585,000",Kenyan Used,Automatic,
Toyota,Land,2011,Black,"KSh 6,900,000",Kenyan Used,Automatic,115443
Nissan,Note,2016,Red,"KSh 1,000,000",Foreign Used,Automatic,
Volkswagen,Golf,2016,Blue,"KSh 2,250,000",Foreign Used,Automatic,
Toyota,Corolla,2003,Silver,"KSh 680,000",Kenyan Used,Automatic,
