,Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
18537,Mercedes-Benz,GLE-Class,2016,Silver,13000000,Foreign Used,Automatic,
18538,Toyota,Passo,2014,Silver,790000,Kenyan Used,Automatic,75000.0
18539,Subaru,Forester,2016,White,3300000,Foreign Used,Automatic,70000.0
18540,Subaru,Outback,2012,Black,1469000,Kenyan Used,Automatic,
18541,Mercedes-Benz,E200,2017,Green,6000000,Foreign Used,Automatic,
18542,Toyota,Vanguard,2013,White,2050000,Kenyan Used,Automatic,112000.0
18543,Nissan,X-Trail,2016,Pearl,2400000,Foreign Used,Automatic,72000.0
18544,Nissan,X-Trail,2008,Blue,1040000,Kenyan Used,Automatic,148218.0
18545,Toyota,Voxy,2016,Black,2400000,Foreign Used,Automatic,120000.0
18546,Toyota,RAV4,2019,Black,5900000,Foreign Used,Automatic,57057.0
18547,BMW,X5,2007,Black,2100000,Kenyan Used,Automatic,
18548,Subaru,Impreza,2016,Silver,1700000,Foreign Used,Automatic,88000.0
18549,Toyota,Succeed,2012,Blue,750000,Kenyan Used,Automatic,
18550,Nissan,Note,2015,Purple,950000,Kenyan Used,Automatic,137000.0
18551,Toyota,Harrier,2017,White,3950000,Foreign Used,Automatic,50000.0
18552,Toyota,Passo,2015,Silver,880000,Foreign Used,Automatic,67612.0
18553,Ford,Ranger,2016,Gray,5300000,Foreign Used,Automatic,63000.0
18554,Ford,Ranger,2016,Orange,5200000,Foreign Used,Automatic,66000.0
18555,Honda,Vezel,2016,Black,2550000,Foreign Used,Automatic,42000.0
18556,Toyota,Allion,2009,Silver,850000,Kenyan Used,Automatic,100844.0
18557,Land,Rover,1995,White,1700000,Kenyan Used,Manual,
18558,Toyota,Mark,2005,Silver,570000,Kenyan Used,Automatic,
18559,Toyota,Probox,2015,White,880000,Kenyan Used,Automatic,
18560,Toyota,Fortuner,2017,Beige,6750000,Foreign Used,Automatic,91000.0
18561,Nissan,X-Trail,2004,Gray,575000,Kenyan Used,Automatic,
18562,Toyota,Sienta,2012,Silver,790000,Kenyan Used,Automatic,
18563,Isuzu,Trooper,1992,White,795000,Kenyan Used,Manual,
18564,Toyota,Passo,2014,White,700000,Kenyan Used,Automatic,200000.0
18565,Nissan,Bluebird,2016,White,1550000,Foreign Used,Automatic,33000.0
18566,Mercedes-Benz,C180,2016,White,3000000,Foreign Used,Automatic,78000.0
18567,Honda,CR-V,2002,Green,630000,Kenyan Used,Manual,
18568,Honda,CR-V,2000,Green,590000,Kenyan Used,Automatic,170243.0
18569,BMW,X1,2018,Pearl,4500000,Foreign Used,Automatic,18265.0
18570,Nissan,Note,2016,Pink,1200000,Foreign Used,Automatic,32000.0
18571,Volkswagen,Tiguan,2017,Pearl,4500000,Foreign Used,Automatic,35645.0
18572,Nissan,Note,2016,Gray,800000,Kenyan Used,Automatic,148050.0
18573,Volkswagen,Passat,2016,Black,2600000,Foreign Used,Automatic,61234.0
18574,Peugeot,208,2016,Gray,1270000,Foreign Used,Automatic,101000.0
18575,Toyota,Land,2018,White,7800000,Foreign Used,Automatic,
18576,Mercedes-Benz,M,2015,White,6300000,Foreign Used,Automatic,
18577,Toyota,Corolla,2006,Silver,580000,Kenyan Used,Automatic,136588.0
18578,Mercedes-Benz,G-Class,2017,Black,16000000,Foreign Used,Automatic,
18579,Toyota,Corolla,2003,Red,535000,Kenyan Used,Automatic,
18580,Toyota,Corolla,2004,White,665000,Kenyan Used,Automatic,148000.0
18581,Subaru,Tribeca,2011,Black,1535000,Kenyan Used,Automatic,
18582,Mitsubishi,RVR,2016,Blue,2300000,Foreign Used,Automatic,56000.0
18583,Lexus,LX,2018,White,18000000,Foreign Used,Automatic,45000.0
18584,Toyota,Alphard,2010,White,1350000,Kenyan Used,Automatic,
18585,Toyota,Vanguard,2010,White,1530000,Kenyan Used,Automatic,156805.0
18586,Land,Rover,2016,Gray,6100000,Foreign Used,Automatic,29800.0
